caldt,vwretd,vwretx,ewretd,ewretx,sprtrn
28-06-02,-0.071349,-0.072611,-0.080675,-0.081861,-0.072465
31-07-02,-0.073987,-0.075074,-0.105229,-0.106106,-0.078995
30-08-02,0.007061,0.005401,0.012241,0.010652,0.004881
30-09-02,-0.108965,-0.110421,-0.115309,-0.116645,-0.110013
31-10-02,0.088599,0.087103,0.073063,0.071851,0.086436
29-11-02,0.059019,0.057288,0.110251,0.108353,0.05707
31-12-02,-0.058834,-0.060464,-0.051344,-0.052995,-0.060333
31-01-03,-0.026579,-0.02786,-0.025525,-0.026377,-0.027415
28-02-03,-0.015246,-0.017225,-0.022303,-0.024039,-0.017004
31-03-03,0.010308,0.008967,0.005085,0.003585,0.008358
30-04-03,0.082774,0.081462,0.103509,0.102385,0.081044
30-05-03,0.053251,0.051508,0.096073,0.094441,0.050899
30-06-03,0.012816,0.011351,0.007649,0.006213,0.011322
31-07-03,0.017932,0.016505,0.02837,0.027302,0.016224
29-08-03,0.019597,0.018014,0.044604,0.043044,0.017873
30-09-03,-0.010737,-0.012107,-0.016561,-0.017897,-0.011944
31-10-03,0.05556,0.05397,0.070988,0.069986,0.054962
28-11-03,0.009259,0.007606,0.021267,0.01961,0.007129
31-12-03,0.05178,0.050107,0.053166,0.051498,0.050765
30-01-04,0.019078,0.017991,0.024211,0.023439,0.017276
27-02-04,0.014403,0.012716,0.020902,0.019433,0.012209
31-03-04,-0.014982,-0.016267,-0.00581,-0.007174,-0.016359
30-04-04,-0.015584,-0.016719,-0.024546,-0.025387,-0.016791
28-05-04,0.013629,0.012024,0.019374,0.017895,0.012083
30-06-04,0.019488,0.018019,0.03032,0.028934,0.017989
30-07-04,-0.032954,-0.034111,-0.043144,-0.044004,-0.034291
31-08-04,0.003807,0.002019,-0.002948,-0.004771,0.002287
30-09-04,0.010817,0.009347,0.02757,0.026265,0.009364
29-10-04,0.014973,0.013699,0.024507,0.023589,0.014014
30-11-04,0.040559,0.035572,0.058717,0.05686,0.038595
31-12-04,0.033734,0.032086,0.037578,0.035933,0.032458
31-01-05,-0.023824,-0.024749,-0.029473,-0.030169,-0.02529
28-02-05,0.021152,0.019015,0.020327,0.018756,0.018903
31-03-05,-0.01724,-0.018729,-0.012797,-0.014308,-0.019118
29-04-05,-0.018926,-0.020076,-0.030961,-0.031763,-0.020109
31-05-05,0.031994,0.030156,0.048563,0.047029,0.029952
30-06-05,0.001717,0.000139,0.014499,0.013112,-0.000143
29-07-05,0.037364,0.036163,0.051383,0.050538,0.035968
